Dataset,gamma1,Model,Transform,delta_rmse_pct,DM_p,cohens_d,min_n_80power
Servo,0.517701040384009,Ridge,Quantile,18.915791735647502,0.1840736753362502,-0.22780434623709042,151.24591836849802
Servo,0.517701040384009,Lasso,Quantile,19.510490937157783,0.22205186400040233,-0.20941524425588143,178.97447172589128
mtcars,0.6404398640318834,МНК,ln(y),-13.6144941850383,0.42961553360589577,0.29853513614459365,88.06772323427765
mtcars,0.6404398640318834,Lasso,ln(y),-6.993300087444461,0.15796310240011313,0.5336689676846678,27.55902032452698
mtcars,0.6404398640318834,МНК,√y,-6.37618843292675,0.4430083962669642,0.2899452353363079,93.3631985345438
mtcars,0.6404398640318834,Ridge,√y,-2.627496932754313,0.38471643947272094,0.32854144702025834,72.71555837671795
mtcars,0.6404398640318834,МНК,asinh(y),-13.568888445322655,0.429734942481383,0.29845787119799844,88.11332718292071
mtcars,0.6404398640318834,Lasso,asinh(y),-6.96727570561458,0.1569218630358824,0.5350088216749408,27.421157825614202
mtcars,0.6404398640318834,МНК,Box-Cox,-15.464582553633166,0.4240672942494115,0.30213907233877296,85.97929736484521
mtcars,0.6404398640318834,МНК,Yeo-Johnson,-15.44024835929643,0.4240916805230164,0.3021231718802413,85.98834762218685
mtcars,0.6404398640318834,Ridge,Yeo-Johnson,-3.9135553007526065,0.5949782457715307,0.200939455295921,194.39148314285194
mtcars,0.6404398640318834,МНК,Quantile,58.39667630129911,0.25452193609011653,-0.43066579394895815,42.3181737006951
mtcars,0.6404398640318834,Ridge,Quantile,52.589124308254675,0.30533695658005455,-0.3874345974389761,52.28906479560482
mtcars,0.6404398640318834,Lasso,Quantile,28.010891679435417,0.5193497703470513,-0.24354066732364985,132.33194360346013
Tips_Restaurant,1.4564266884221506,Ridge,ln(y),12.965027384260312,0.14702681244339444,-0.20715910147494762,182.89407537631047
Tips_Restaurant,1.4564266884221506,Lasso,ln(y),18.9274408332275,0.10967560860266223,-0.22852184119922644,150.29766917305778
Tips_Restaurant,1.4564266884221506,Ridge,√y,3.6738160953076027,0.11723320602899845,-0.2237847387365293,156.72805449983022
Tips_Restaurant,1.4564266884221506,Lasso,√y,5.303957440660014,0.05725148548673609,-0.2716265566342884,106.38079173586301
Tips_Restaurant,1.4564266884221506,Ridge,asinh(y),10.266542622548595,0.14818068851977673,-0.20656965270725006,183.9393450925222
Tips_Restaurant,1.4564266884221506,Lasso,asinh(y),15.623937115507605,0.10271418963112988,-0.23311932663801235,144.42790600145005
Tips_Restaurant,1.4564266884221506,Ridge,Box-Cox,14.426455051763268,0.15025339548443983,-0.2055195724412366,185.82378380076204
Tips_Restaurant,1.4564266884221506,Lasso,Box-Cox,20.32461102145577,0.11462371542581495,-0.2253924463935919,154.5001693572413
Tips_Restaurant,1.4564266884221506,Lasso,Yeo-Johnson,24.967406675197743,0.133580314791657,-0.2143045154326929,170.9011680557395
Tips_Restaurant,1.4564266884221506,Lasso,Quantile,19.69567392412094,0.14925126383787357,-0.2060258851540146,184.91157477233446
