dataset,gamma1,U_linear_pct_boxcox,U_tree_pct_boxcox,U_neural_pct_boxcox
Airfoil_SelfNoise,-0.4185339558133514,1.2499561703173079,0.0,0.0
Real_Estate_Taiwan,-0.01024238069804093,,0.0,0.0
WineQuality_White,0.15574868141362455,-0.03254065442066348,0.0,0.0
WineQuality_Red,0.21759720553467285,-0.034545197296035966,0.0,0.0
Energy_Heating,0.3597412991314765,-0.19145914361853855,0.0,0.0
Concrete,0.41636979411469355,-5.092634680904175,0.0,0.0
Diabetes_sklearn,0.43906639932477265,1.043759357221634,0.0,0.0
Auto_MPG,0.45534138282810366,13.759080730350894,0.0,0.0
Synth_A,0.4714200821897098,0.3487473186125583,0.0,0.0
Servo,0.517701040384009,1.4108734422295788,0.0,0.0
mtcars,0.6404398640318834,-0.985007207608619,0.0,0.0
California_Housing,0.9776922140978419,-11.213409798103262,0.0,0.0
Boston_Housing,1.104810822864635,14.54796488596058,0.0,0.0
Abalone,1.1137017739656028,-1.0601934311602221,0.0,0.0
Medical_Insurance,1.2044050748376427,,0.0,0.0
Synth_B,1.2630579038510488,-0.2586987698287357,0.0,0.0
Bike_Sharing,1.2773013463494975,-3.993079508509782,0.0,0.0
Tips_Restaurant,1.4564266884221506,-17.723896609218087,0.0,0.0
Communities_Crime,1.5869764262963277,-11357602.6427614,0.0,0.0
Diamonds,1.6183736546722913,26.207528522081557,0.0,0.0
Yacht_Hydrodynamics,1.7477493780248623,74.88865059761308,0.0,0.0
Ames_Housing,1.9310266972809633,25.280321275756496,0.0,0.0
Synth_C,2.7599642952151546,-0.24156631640770246,0.0,0.0
CPU_Performance,3.864819547035671,-317501.8712019587,0.0,0.0
RAND_HIE,4.824098869498721,-848477763014.7008,0.0,0.0
Forest_Fires,12.809629951754577,-254473024912.4114,0.0,0.0
